Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Bolivia,BOL,2021,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.89
Bolivia,BOL,2020,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.55
Bolivia,BOL,2019,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.87
Bolivia,BOL,2018,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.94
Bolivia,BOL,2017,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.03
Bolivia,BOL,2016,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.03
Bolivia,BOL,2015,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.98
Bolivia,BOL,2014,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.16
Bolivia,BOL,2013,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.99
Bolivia,BOL,2012,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.22
Bolivia,BOL,2011,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.09
Bolivia,BOL,2010,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.01
Bolivia,BOL,2009,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.85
Bolivia,BOL,2008,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.82
Bolivia,BOL,2007,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.98
Bolivia,BOL,2006,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.07
Bolivia,BOL,2005,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.19
Bolivia,BOL,2004,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.97
Bolivia,BOL,2003,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.07
Bolivia,BOL,2002,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,4.08
Bolivia,BOL,2001,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.51
Bolivia,BOL,2000,Energy intensity level of primary energy (MJ/$2017 PPP GDP),EG.EGY.PRIM.PP.KD,3.36
Bolivia,BOL,2023,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,99.6
Bolivia,BOL,2022,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,95.6
Bolivia,BOL,2021,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,95.1
Bolivia,BOL,2020,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,90.9
Bolivia,BOL,2019,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,84.9
Bolivia,BOL,2018,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,77.6
Bolivia,BOL,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,74.8
Bolivia,BOL,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,74.9
Bolivia,BOL,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,74.3
Bolivia,BOL,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,70.3
Bolivia,BOL,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,68.5
Bolivia,BOL,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,72.2
Bolivia,BOL,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,66.6
Bolivia,BOL,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,66.4
Bolivia,BOL,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,63.3
Bolivia,BOL,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,57
Bolivia,BOL,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,46.5
Bolivia,BOL,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,41.6
Bolivia,BOL,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,29.5
Bolivia,BOL,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,40.3
Bolivia,BOL,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,35
Bolivia,BOL,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,22.5
Bolivia,BOL,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,28
Bolivia,BOL,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,28.2
Bolivia,BOL,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,28.3738518904785
Bolivia,BOL,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,32.6782770853407
